Сортировка по дате
№,широта,долгота,ширина,длина,мм/ч,дата и время
6,55.58,37.62,0.19,0.31,1.0,Апрель 16 2024 16:30:00
2,59.34,32.31,0.15,0.25,2.5,Декабрь 25 2023 12:15:00
9,51.51,10.13,0.12,0.22,2.0,Июль 11 2024 19:15:00
8,34.05,18.24,0.23,0.32,0.8,Июнь 8 2024 18:00:00
7,40.71,74.01,0.05,0.11,1.2,Май 15 2024 17:45:00
5,54.94,30.38,0.15,0.25,3.5,Март 5 2024 15:15:00
1,56.85,47.15,0.23,0.23,5.0,Ноябрь 10 2023 11:00:00
4,88.43,69.37,0.18,0.34,4.0,Февраль 4 2024 14:00:00
3,79.95,58.26,0.24,0.26,3.0,Январь 13 2024 13:30:00
Сортировка по мм/ч
№,широта,долгота,ширина,длина,мм/ч,дата и время
8,34.05,18.24,0.23,0.32,0.8,Июнь 8 2024 18:00:00
6,55.58,37.62,0.19,0.31,1.0,Апрель 16 2024 16:30:00
7,40.71,74.01,0.05,0.11,1.2,Май 15 2024 17:45:00
9,51.51,10.13,0.12,0.22,2.0,Июль 11 2024 19:15:00
2,59.34,32.31,0.15,0.25,2.5,Декабрь 25 2023 12:15:00
3,79.95,58.26,0.24,0.26,3.0,Январь 13 2024 13:30:00
5,54.94,30.38,0.15,0.25,3.5,Март 5 2024 15:15:00
4,88.43,69.37,0.18,0.34,4.0,Февраль 4 2024 14:00:00
1,56.85,47.15,0.23,0.23,5.0,Ноябрь 10 2023 11:00:00
Осадки с мм/ч больше 2.5
№,широта,долгота,ширина,длина,мм/ч,дата и время
1,56.85,47.15,0.23,0.23,5.0,Ноябрь 10 2023 11:00:00
3,79.95,58.26,0.24,0.26,3.0,Январь 13 2024 13:30:00
4,88.43,69.37,0.18,0.34,4.0,Февраль 4 2024 14:00:00
5,54.94,30.38,0.15,0.25,3.5,Март 5 2024 15:15:00
