Сортировка по дате
№,широта,долгота,ширина,длина,мм/ч,дата и время
1,56.85,47.15,0.23,0.23,5.0,2024-06-02
3,79.95,58.26,0.24,0.26,3.0,2024-06-03
2,59.34,32.31,0.15,0.25,2.5,2024-06-04
4,88.43,69.37,0.18,0.34,4.0,2024-06-04
5,54.94,30.38,0.15,0.25,3.5,2024-06-05
6,55.58,37.62,0.19,0.31,1.0,2024-06-06
7,40.71,74.01,0.05,0.11,1.2,2024-06-07
8,34.05,18.24,0.23,0.32,0.8,2024-06-10
9,51.51,10.13,0.12,0.22,2.0,2024-06-11
Сортировка по мм/ч
№,широта,долгота,ширина,длина,мм/ч,дата и время
8,34.05,18.24,0.23,0.32,0.8,2024-06-10
6,55.58,37.62,0.19,0.31,1.0,2024-06-06
7,40.71,74.01,0.05,0.11,1.2,2024-06-07
9,51.51,10.13,0.12,0.22,2.0,2024-06-11
2,59.34,32.31,0.15,0.25,2.5,2024-06-04
3,79.95,58.26,0.24,0.26,3.0,2024-06-03
5,54.94,30.38,0.15,0.25,3.5,2024-06-05
4,88.43,69.37,0.18,0.34,4.0,2024-06-04
1,56.85,47.15,0.23,0.23,5.0,2024-06-02
Осадки с мм/ч больше 2.5
№,широта,долгота,ширина,длина,мм/ч,дата и время
1,56.85,47.15,0.23,0.23,5.0,2024-06-02
3,79.95,58.26,0.24,0.26,3.0,2024-06-03
4,88.43,69.37,0.18,0.34,4.0,2024-06-04
5,54.94,30.38,0.15,0.25,3.5,2024-06-05
